LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6566467,
AUS,EDUPUBEXP,TRY,PC_GDP,A,2019,0.6473926,
AUT,EDUPUBEXP,TRY,PC_GDP,A,2018,1.551721,
AUT,EDUPUBEXP,TRY,PC_GDP,A,2019,1.555686,
BEL,EDUPUBEXP,TRY,PC_GDP,A,2018,1.269208,
BEL,EDUPUBEXP,TRY,PC_GDP,A,2019,1.279079,
CAN,EDUPUBEXP,TRY,PC_GDP,A,2018,1.217783,
CAN,EDUPUBEXP,TRY,PC_GDP,A,2019,1.171513,
CZE,EDUPUBEXP,TRY,PC_GDP,A,2018,0.9095964,
CZE,EDUPUBEXP,TRY,PC_GDP,A,2019,0.916695,
DNK,EDUPUBEXP,TRY,PC_GDP,A,2018,1.564705,
DNK,EDUPUBEXP,TRY,PC_GDP,A,2019,1.551309,
FIN,EDUPUBEXP,TRY,PC_GDP,A,2018,1.396966,
FIN,EDUPUBEXP,TRY,PC_GDP,A,2019,1.371993,
FRA,EDUPUBEXP,TRY,PC_GDP,A,2018,1.123677,
FRA,EDUPUBEXP,TRY,PC_GDP,A,2019,1.11282,
DEU,EDUPUBEXP,TRY,PC_GDP,A,2018,1.031715,
DEU,EDUPUBEXP,TRY,PC_GDP,A,2019,1.038523,
HUN,EDUPUBEXP,TRY,PC_GDP,A,2018,0.7227081,
HUN,EDUPUBEXP,TRY,PC_GDP,A,2019,0.6225889,
ISL,EDUPUBEXP,TRY,PC_GDP,A,2018,1.039868,
ISL,EDUPUBEXP,TRY,PC_GDP,A,2019,1.113099,
IRL,EDUPUBEXP,TRY,PC_GDP,A,2018,0.5969207,
IRL,EDUPUBEXP,TRY,PC_GDP,A,2019,0.5701401,
ITA,EDUPUBEXP,TRY,PC_GDP,A,2018,0.5584719,
ITA,EDUPUBEXP,TRY,PC_GDP,A,2019,0.5518745,
JPN,EDUPUBEXP,TRY,PC_GDP,A,2018,0.4376987,
JPN,EDUPUBEXP,TRY,PC_GDP,A,2019,0.4505243,
KOR,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6220148,
KOR,EDUPUBEXP,TRY,PC_GDP,A,2019,0.580065,
MEX,EDUPUBEXP,TRY,PC_GDP,A,2018,0.8207449,
MEX,EDUPUBEXP,TRY,PC_GDP,A,2019,0.7742228,
NLD,EDUPUBEXP,TRY,PC_GDP,A,2018,1.135061,
NLD,EDUPUBEXP,TRY,PC_GDP,A,2019,1.141498,
NZL,EDUPUBEXP,TRY,PC_GDP,A,2018,0.8700068,
NZL,EDUPUBEXP,TRY,PC_GDP,A,2019,0.8738854,
NZL,EDUPUBEXP,TRY,PC_GDP,A,2020,0.9539283,
NOR,EDUPUBEXP,TRY,PC_GDP,A,2018,1.810491,
NOR,EDUPUBEXP,TRY,PC_GDP,A,2019,1.797895,
POL,EDUPUBEXP,TRY,PC_GDP,A,2018,0.9441145,
POL,EDUPUBEXP,TRY,PC_GDP,A,2019,1.001094,
PRT,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6794092,
PRT,EDUPUBEXP,TRY,PC_GDP,A,2019,0.6893417,
SVK,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6326743,
SVK,EDUPUBEXP,TRY,PC_GDP,A,2019,0.66374,
ESP,EDUPUBEXP,TRY,PC_GDP,A,2018,0.8184737,
ESP,EDUPUBEXP,TRY,PC_GDP,A,2019,0.835281,
SWE,EDUPUBEXP,TRY,PC_GDP,A,2018,1.311506,
SWE,EDUPUBEXP,TRY,PC_GDP,A,2019,1.295609,
CHE,EDUPUBEXP,TRY,PC_GDP,A,2018,1.232339,
GBR,EDUPUBEXP,TRY,PC_GDP,A,2018,0.4915862,
GBR,EDUPUBEXP,TRY,PC_GDP,A,2019,0.4700029,
USA,EDUPUBEXP,TRY,PC_GDP,A,2018,0.9026258,
USA,EDUPUBEXP,TRY,PC_GDP,A,2019,0.8901471,
BRA,EDUPUBEXP,TRY,PC_GDP,A,2018,1.053156,
CHL,EDUPUBEXP,TRY,PC_GDP,A,2018,0.9853786,
CHL,EDUPUBEXP,TRY,PC_GDP,A,2019,1.04605,
EST,EDUPUBEXP,TRY,PC_GDP,A,2018,1.12923,
EST,EDUPUBEXP,TRY,PC_GDP,A,2019,1.040924,
IND,EDUPUBEXP,TRY,PC_GDP,A,2020,1.515566,
ISR,EDUPUBEXP,TRY,PC_GDP,A,2018,0.7479237,
ISR,EDUPUBEXP,TRY,PC_GDP,A,2019,0.7574472,
RUS,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6522307,
SVN,EDUPUBEXP,TRY,PC_GDP,A,2018,0.8704147,
SVN,EDUPUBEXP,TRY,PC_GDP,A,2019,0.8847357,
ZAF,EDUPUBEXP,TRY,PC_GDP,A,2018,0.6484875,
ZAF,EDUPUBEXP,TRY,PC_GDP,A,2019,0.7266562,
ZAF,EDUPUBEXP,TRY,PC_GDP,A,2020,0.8516115,
AUS,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.307398,
AUS,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.420695,
AUT,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.826268,
AUT,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.79831,
BEL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.975721,
BEL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.909918,
CAN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.223512,
CAN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.187562,
CZE,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.685061,
CZE,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.925186,
DNK,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.421048,
DNK,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.36314,
FIN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.581897,
FIN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.699219,
FRA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.362569,
FRA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.343979,
DEU,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.627059,
DEU,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.696143,
HUN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.540324,
HUN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.433256,
ISL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,4.411713,
ISL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,4.343693,
IRL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.168719,
IRL,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.115561,
ITA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.926598,
ITA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.761434,
JPN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.34873,
JPN,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.394859,
KOR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.128792,
KOR,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.385564,
LUX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.548102,
LUX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.717215,
MEX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.622181,
MEX,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.636233,
