LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TEACHERSALARY,PRY15YREXP,USD,A,2021,68607.626,
AUS,TEACHERSALARY,PRY_START,USD,A,2021,46988.4003,
AUS,TEACHERSALARY,PRY_TOP,USD,A,2021,74335.14004,
AUT,TEACHERSALARY,PRY15YREXP,USD,A,2021,57637.63763,
AUT,TEACHERSALARY,PRY_START,USD,A,2021,47995.25352,
AUT,TEACHERSALARY,PRY_TOP,USD,A,2021,83891.65942,
CAN,TEACHERSALARY,PRY15YREXP,USD,A,2021,70331.06301,
CAN,TEACHERSALARY,PRY_START,USD,A,2021,40721.50257,
CAN,TEACHERSALARY,PRY_TOP,USD,A,2021,70331.06301,
CZE,TEACHERSALARY,PRY15YREXP,USD,A,2021,28453.07098,
CZE,TEACHERSALARY,PRY_START,USD,A,2021,25615.87017,
CZE,TEACHERSALARY,PRY_TOP,USD,A,2021,33560.03243,
DNK,TEACHERSALARY,PRY15YREXP,USD,A,2021,62300.58387,
DNK,TEACHERSALARY,PRY_START,USD,A,2021,54130.3748,
DNK,TEACHERSALARY,PRY_TOP,USD,A,2021,62300.58387,
FIN,TEACHERSALARY,PRY15YREXP,USD,A,2021,45771.79845,
FIN,TEACHERSALARY,PRY_START,USD,A,2021,37072.95192,
FIN,TEACHERSALARY,PRY_TOP,USD,A,2021,48518.10635,
FRA,TEACHERSALARY,PRY15YREXP,USD,A,2021,40042.83113,
FRA,TEACHERSALARY,PRY_START,USD,A,2021,32618.99779,
FRA,TEACHERSALARY,PRY_TOP,USD,A,2021,57884.78285,
DEU,TEACHERSALARY,PRY15YREXP,USD,A,2021,85048.84849,
DEU,TEACHERSALARY,PRY_START,USD,A,2021,69599.17061,
DEU,TEACHERSALARY,PRY_TOP,USD,A,2021,90969.78929,
GRC,TEACHERSALARY,PRY15YREXP,USD,A,2021,27026.14303,
GRC,TEACHERSALARY,PRY_START,USD,A,2021,20409.78436,
GRC,TEACHERSALARY,PRY_TOP,USD,A,2021,40258.86036,
HUN,TEACHERSALARY,PRY15YREXP,USD,A,2021,20634.86617,
HUN,TEACHERSALARY,PRY_START,USD,A,2021,17058.43645,
HUN,TEACHERSALARY,PRY_TOP,USD,A,2021,29173.43148,
ISL,TEACHERSALARY,PRY15YREXP,USD,A,2021,45371.40457,
ISL,TEACHERSALARY,PRY_START,USD,A,2021,42592.95853,
ISL,TEACHERSALARY,PRY_TOP,USD,A,2021,46451.04551,
IRL,TEACHERSALARY,PRY15YREXP,USD,A,2021,62336.6675,
IRL,TEACHERSALARY,PRY_START,USD,A,2021,37016.63156,
IRL,TEACHERSALARY,PRY_TOP,USD,A,2021,71899.19911,
ITA,TEACHERSALARY,PRY15YREXP,USD,A,2021,39562.8517,
ITA,TEACHERSALARY,PRY_START,USD,A,2021,32963.49461,
ITA,TEACHERSALARY,PRY_TOP,USD,A,2021,47989.67305,
JPN,TEACHERSALARY,PRY15YREXP,USD,A,2021,49355.55706,
JPN,TEACHERSALARY,PRY_START,USD,A,2021,29819.53314,
JPN,TEACHERSALARY,PRY_TOP,USD,A,2021,61066.59712,
KOR,TEACHERSALARY,PRY15YREXP,USD,A,2021,60184.51693,
KOR,TEACHERSALARY,PRY_START,USD,A,2021,34122.83889,
KOR,TEACHERSALARY,PRY_TOP,USD,A,2021,95780.15398,
LUX,TEACHERSALARY,PRY15YREXP,USD,A,2021,104845.6117,
LUX,TEACHERSALARY,PRY_START,USD,A,2021,71812.06226,
LUX,TEACHERSALARY,PRY_TOP,USD,A,2021,126867.978,
MEX,TEACHERSALARY,PRY15YREXP,USD,A,2021,34704.17211,
MEX,TEACHERSALARY,PRY_START,USD,A,2021,21948.30076,
MEX,TEACHERSALARY,PRY_TOP,USD,A,2021,43709.03871,
NLD,TEACHERSALARY,PRY15YREXP,USD,A,2021,70899.22768,
NLD,TEACHERSALARY,PRY_START,USD,A,2021,45593.65298,
NLD,TEACHERSALARY,PRY_TOP,USD,A,2021,85359.72589,
NZL,TEACHERSALARY,PRY15YREXP,USD,A,2021,52698.80252,
NZL,TEACHERSALARY,PRY_START,USD,A,2021,34488.15772,
NZL,TEACHERSALARY,PRY_TOP,USD,A,2021,52698.80252,
NOR,TEACHERSALARY,PRY15YREXP,USD,A,2021,50677.33052,
